Painting,ARTS 11000,002,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 11000', 'Class/Lecture', '11:00 am - 12:15 pm', 'TR', 'Fine Arts FA 100', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Joseph   LoPresti (P)')"
Painting for Majors,ARTS 11000,003,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 11000', 'Class/Lecture', '11:00 am - 12:15 pm', 'TR', 'Fine Arts FA 100', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Joseph   LoPresti (P)')"
Digital Photography,ARTS 18100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 18100', 'Class/Lecture', '4:00 pm - 6:29 pm', 'R', 'Fine Arts FA 107', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Jennifer A  Moore (P)')"
Digital Photography,ARTS 18100,002,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 18100', 'Class/Lecture', '6:30 pm - 9:00 pm', 'R', 'Fine Arts FA 219', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Jennifer A  Moore (P)')"
Life Drawing,ARTS 20100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 20100', 'Class/Lecture', '3:00 pm - 5:30 pm', 'W', 'Fine Arts FA 104', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Leslie   Colonna (P)')"
Introduction to Graphic Design,ARTS 23100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 23100', 'Class/Lecture', '12:30 pm - 1:45 pm', 'TR', 'Fine Arts FA 107', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Jennifer   Hardin (P)')"
Introduction to Graphic Design,ARTS 23100,002,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ARTS 23100', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Jennifer   Hardin (P)')"
Motion Graphics,ARTS 23300,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 23300', 'Class/Lecture', '9:30 am - 10:45 am', 'TR', 'Fine Arts FA 107', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Kristin C  Callahan (P)')"
Interaction Design,ARTS 23400,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 23400', 'Class/Lecture', '11:00 am - 11:50 am', 'MWF', 'Fine Arts FA 107', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Simon   Dai (P)')"
Art Appreciation,ARTS 24100,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ARTS 24100', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Joseph   LoPresti (P)')"
Art Appreciation,ARTS 24100,002,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ARTS 24100', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Jennifer   Hardin (P)')"
Art Appreciation,ARTS 24100,003,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ARTS 24100', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Paul R  Mitchell (P)')"
Art Appreciation,ARTS 24100,004,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ARTS 24100', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Sandra   Krohnert (P)')"
Art Appreciation,ARTS 24100,007,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ARTS 24100', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Joseph   LoPresti (P)')"
Art Appreciation,ARTS 24100,LT1,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ARTS 24100', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - Mar 09, 2024', 'Lecture', 'Jeff   Mishur (P)')"
Art Appreciation,ARTS 24100,SA,,,,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 24100', 'Arranged', 'TBA', '', 'Off Campus Location', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Christopher J  Swanson (P)')"
Collaborative Design Studio: Jr. Graphic Designer,ARTS 25100,001,,,,Romeoville Campus,Experiential Schedule Type,Traditional Instructional Method,"('ARTS 25100', 'Class/Lecture', '12:30 pm - 1:45 pm', 'TR', 'Academic Science Center AS 157A', 'Jan 16, 2024 - May 11, 2024', 'Experiential', 'Kristin C  Callahan (P)')"
Wksp: The Chicago Art Scene,ARTS 29001,001,,,,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,"('ARTS 29001', 'Class/Lecture', '6:00 pm - 9:00 pm', 'F', 'Fine Arts FA 107', 'Apr 19, 2024 - Apr 19, 2024', 'Workshop', 'Joseph   LoPresti (P)')","('ARTS 29001', 'Class/Lecture', '9:00 am - 2:00 pm', 'S', 'Fine Arts FA 107', 'Apr 20, 2024 - Apr 20, 2024', 'Workshop', 'Joseph   LoPresti (P)')"
Wksp: Design Thinking and Creative Process,ARTS 29002,001,,,,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,"('ARTS 29002', 'Class/Lecture', '6:00 pm - 9:00 pm', 'F', 'Fine Arts FA 107', 'Apr 05, 2024 - Apr 05, 2024', 'Workshop', 'Kristin C  Callahan (P)')","('ARTS 29002', 'Class/Lecture', '9:00 am - 2:00 pm', 'S', 'Fine Arts FA 107', 'Apr 06, 2024 - Apr 06, 2024', 'Workshop', 'Kristin C  Callahan (P)')"
Wksp: Clay Sculpture,ARTS 29007,001,,,,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,"('ARTS 29007', 'Class/Lecture', '6:00 pm - 9:00 pm', 'F', 'Fine Arts FA 104', 'Feb 02, 2024 - Feb 02, 2024', 'Workshop', 'Leslie   Colonna (P)')","('ARTS 29007', 'Class/Lecture', '9:00 am - 2:00 pm', 'S', 'Fine Arts FA 104', 'Feb 03, 2024 - Feb 03, 2024', 'Workshop', 'Leslie   Colonna (P)')"
Wksp: Clay Sculpture,ARTS 29007,002,,,,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,"('ARTS 29007', 'Class/Lecture', '6:00 pm - 9:00 pm', 'F', 'Fine Arts FA 104', 'Apr 12, 2024 - Apr 12, 2024', 'Workshop', 'Leslie   Colonna (P)')","('ARTS 29007', 'Class/Lecture', '9:00 am - 2:00 pm', 'S', 'Fine Arts FA 104', 'Apr 13, 2024 - Apr 13, 2024', 'Workshop', 'Leslie   Colonna (P)')"
Wksp: Photoshop Compositing,ARTS 29010,001,,,,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,"('ARTS 29010', 'Class/Lecture', '6:00 pm - 9:00 pm', 'F', 'Fine Arts FA 107', 'Feb 23, 2024 - Feb 23, 2024', 'Workshop', 'Jennifer   Hardin (P)')","('ARTS 29010', 'Class/Lecture', '9:00 am - 2:00 pm', 'S', 'Fine Arts FA 107', 'Feb 24, 2024 - Feb 24, 2024', 'Workshop', 'Jennifer   Hardin (P)')"
Wksp: Photoshop Digital Watercolor Painting,ARTS 29013,001,,,,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,"('ARTS 29013', 'Class/Lecture', '6:00 pm - 9:00 pm', 'F', 'Fine Arts FA 107', 'Mar 22, 2024 - Mar 22, 2024', 'Workshop', 'Jennifer   Hardin (P)')","('ARTS 29013', 'Class/Lecture', '9:00 am - 2:00 pm', 'S', 'Fine Arts FA 107', 'Mar 23, 2024 - Mar 23, 2024', 'Workshop', 'Jennifer   Hardin (P)')"
Advanced Drawing,ARTS 30000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 30000', 'Class/Lecture', '3:00 pm - 5:30 pm', 'W', 'Fine Arts FA 104', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Leslie   Colonna (P)')"
Advanced Life Drawing,ARTS 30100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 30100', 'Class/Lecture', '3:00 pm - 5:30 pm', 'W', 'Fine Arts FA 104', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Leslie   Colonna (P)')"
Human Centered Design,ARTS 30200,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 30200', 'Class/Lecture', '1:00 pm - 1:50 pm', 'MWF', 'Fine Arts FA 107', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Simon   Dai (P)')"
Advanced Painting,ARTS 31000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 31000', 'Class/Lecture', '3:00 pm - 5:30 pm', 'W', 'Fine Arts FA 100', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Leslie   Colonna (P)')"
Collaborative Design Studio: Graphic Designer,ARTS 33100,001,,,,Romeoville Campus,Experiential Schedule Type,Traditional Instructional Method,"('ARTS 33100', 'Class/Lecture', '12:30 pm - 1:45 pm', 'TR', 'Academic Science Center AS 157A', 'Jan 16, 2024 - May 11, 2024', 'Experiential', 'Kristin C  Callahan (P)')"
Typography,ARTS 33200,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 33200', 'Class/Lecture', '9:00 am - 9:50 am', 'MWF', 'Fine Arts FA 107', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Simon   Dai (P)')"
3D Model and Motion Graphics,ARTS 33300,001,,,,Romeoville Campus,Directed Study Schedule Type,Directed Study Instructional Method,"('ARTS 33300', 'Class/Lecture', '9:30 am - 10:45 am', 'TR', 'TBA', 'Jan 16, 2024 - May 11, 2024', 'Directed Study', 'Kristin C  Callahan (P)')"
Advanced Digital Photography,ARTS 38100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 38100', 'Class/Lecture', '4:00 pm - 6:29 pm', 'R', 'Fine Arts FA 107', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Jennifer A  Moore (P)')"
Art History 1,ARTS 39100,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('ARTS 39100', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Sandra   Krohnert (P)')"
Senior Project/Seminar,ARTS 40100,001,,,,Romeoville Campus,Capstone Schedule Type,Traditional Instructional Method,"('ARTS 40100', 'Arranged', 'TBA', '', 'TBA', 'Jan 16, 2024 - May 11, 2024', 'Capstone', 'Simon   Dai (P)')"
Graphic Design Entrepreneurship,ARTS 43100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('ARTS 43100', 'Class/Lecture', '10:00 am - 10:50 am', 'MWF', 'Fine Arts FA 107', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Simon   Dai (P)')"
Collaborative Design Studio: Art Director,ARTS 45100,001,,,,Romeoville Campus,Experiential Schedule Type,Traditional Instructional Method,"('ARTS 45100', 'Class/Lecture', '12:30 pm - 1:45 pm', 'TR', 'Academic Science Center AS 157A', 'Jan 16, 2024 - May 11, 2024', 'Experiential', 'Kristin C  Callahan (P)')"
Art Internship,ARTS 47000,001,,,,Romeoville Campus,Experiential Schedule Type,Traditional Instructional Method,"('ARTS 47000', 'Arranged', 'TBA', '', 'Arranged by Instructor/Dept', 'Jan 16, 2024 - May 11, 2024', 'Experiential', 'Simon   Dai (P)')"
Aviation Fundamentals,AVMT 10600,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('AVMT 10600', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Yvonne M  LeClaire (P)')"
Aviation Fundamentals,AVMT 10601,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 10601', 'Lab', '5:30 pm - 8:20 pm', 'T', 'Harold White HW 140', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Christopher   Perez (P)')"
Aircraft Structures 1,AVMT 11000,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('AVMT 11000', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Christopher   Perez (P)')"
Aircraft Structures 1,AVMT 11000,002,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('AVMT 11000', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Bryan John   Salcepuedes (P)')"
